Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
1	true	Original	520.000	550.000	0.100	3	0.200	CAE	20.00	High	false	O1s-Sb3d	7 Channel Acquisition			3
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
4	true	Original	390.000	410.000	0.100	10	0.200	CAE	20.00	High	false	N1s (0.5, 0, 17, 345 deg)	7 Channel Acquisition			10
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
390.000	32333
390.100	32520
390.200	32164
390.300	32250
390.400	32552
390.500	32379
390.600	32507
390.700	32292
390.800	32300
390.900	32548
391.000	32393
391.100	32427
391.200	32773
391.300	32626
391.400	32460
391.500	32286
391.600	32415
391.700	32349
391.800	32588
391.900	32795
392.000	32576
392.100	32719
392.200	32819
392.300	32553
392.400	32225
392.500	32400
392.600	32522
392.700	32217
392.800	32447
392.900	32600
393.000	32242
393.100	32409
393.200	32502
393.300	32477
393.400	32333
393.500	32504
393.600	32613
393.700	32210
393.800	32186
393.900	32262
394.000	32510
394.100	32578
394.200	32521
394.300	32397
394.400	32459
394.500	32412
394.600	32297
394.700	32272
394.800	32117
394.900	32371
395.000	32659
395.100	32522
395.200	32424
395.300	32360
395.400	32406
395.500	32446
395.600	32106
395.700	32624
395.800	32757
395.900	32543
396.000	32605
396.100	32128
396.200	32327
396.300	32264
396.400	32594
396.500	32489
396.600	32637
396.700	32665
396.800	32500
396.900	32578
397.000	32331
397.100	32445
397.200	32417
397.300	32581
397.400	32462
397.500	32432
397.600	32560
397.700	32685
397.800	32788
397.900	32985
398.000	32612
398.100	32831
398.200	32952
398.300	32341
398.400	32399
398.500	32517
398.600	32722
398.700	32689
398.800	32644
398.900	32794
399.000	33063
399.100	33120
399.200	33143
399.300	32666
399.400	33101
399.500	33763
399.600	33937
399.700	33985
399.800	34451
399.900	34497
400.000	34231
400.100	34558
400.200	34353
400.300	34530
400.400	34334
400.500	34057
400.600	33753
400.700	33628
400.800	33921
400.900	33629
401.000	33143
401.100	33006
401.200	33211
401.300	33210
401.400	32917
401.500	33014
401.600	32754
401.700	32745
401.800	32732
401.900	32746
402.000	32686
402.100	32586
402.200	32618
402.300	32754
402.400	32740
402.500	32739
402.600	32521
402.700	32769
402.800	32624
402.900	32815
403.000	32447
403.100	32608
403.200	32617
403.300	32430
403.400	32752
403.500	32614
403.600	32587
403.700	32815
403.800	32905
403.900	32562
404.000	32648
404.100	32503
404.200	32180
404.300	32463
404.400	32714
404.500	32443
404.600	32562
404.700	32474
404.800	32639
404.900	32529
405.000	32439
405.100	32707
405.200	32519
405.300	33076
405.400	32760
405.500	32822
405.600	32598
405.700	32907
405.800	32807
405.900	32489
406.000	32747
406.100	32708
406.200	32726
406.300	32580
406.400	32652
406.500	32613
406.600	32683
406.700	32565
406.800	32611
406.900	32612
407.000	32946
407.100	32745
407.200	32963
407.300	32717
407.400	32807
407.500	32981
407.600	32630
407.700	32965
407.800	32613
407.900	32849
408.000	32780
408.100	32592
408.200	32946
408.300	32500
408.400	32921
408.500	32698
408.600	32901
408.700	33210
408.800	32837
408.900	32918
409.000	32732
409.100	32829
409.200	32704
409.300	32816
409.400	32554
409.500	32505
409.600	32971
409.700	32975
409.800	32872
409.900	33079
410.000	32991
Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
5	true	Original	520.000	550.000	0.100	3	0.200	CAE	20.00	High	false	O1s-Sb3d	7 Channel Acquisition			3
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
520.000	10765
520.100	10724
520.200	10715
520.300	10757
520.400	10879
520.500	10763
520.600	10762
520.700	10874
520.800	10589
520.900	10745
521.000	10804
521.100	10749
521.200	10951
521.300	10943
521.400	10994
